process_category,record_id,record_type,failure_mode,parameters,validation_outcome,source_file,tags,risk_level,root_cause_hint
Materials Characterization,PKAI-0200,qa_record,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0200.md,"materials-characterization, qa_record, validation-threshold-miss",medium,materials issue
Manufacturing QA,PKAI-0201,maintenance_log,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,process_notes/manufacturing_qa/maintenance_log_0201.md,"coating-uniformity-drift, maintenance_log, manufacturing-qa",high,equipment/process issue
Equipment Maintenance,PKAI-0202,failure_report,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0202.md,"equipment-maintenance, failure_report, thermal-cycling-impedance-drift",high,equipment/process issue
Failure Analysis,PKAI-0203,validation_summary,increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0203.md,"failure-analysis, increased-defect-rate, validation_summary",low,materials issue
Validation Testing,PKAI-0204,parameter_change,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0204.md,"calibration-offset, parameter_change, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0205,experiment_note,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0205.md,"battery-process-optimization, experiment_note, material-batch-inconsistency",medium,materials issue
Materials Characterization,PKAI-0206,qa_record,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0206.md,"materials-characterization, qa_record, sensor-anomaly",medium,equipment/process issue
Manufacturing QA,PKAI-0207,maintenance_log,yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0207.md,"maintenance_log, manufacturing-qa, yield-loss",low,equipment/process issue
Equipment Maintenance,PKAI-0208,failure_report,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0208.md,"equipment-maintenance, failure_report, validation-threshold-miss",high,materials issue
Failure Analysis,PKAI-0209,validation_summary,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",failed,process_notes/failure_analysis/validation_summary_0209.md,"coating-uniformity-drift, failure-analysis, validation_summary",high,equipment/process issue
Validation Testing,PKAI-0210,parameter_change,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0210.md,"parameter_change, thermal-cycling-impedance-drift, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0211,experiment_note,increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0211.md,"battery-process-optimization, experiment_note, increased-defect-rate",medium,equipment/process issue
Materials Characterization,PKAI-0212,qa_record,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0212.md,"calibration-offset, materials-characterization, qa_record",medium,equipment/process issue
Manufacturing QA,PKAI-0213,maintenance_log,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0213.md,"maintenance_log, manufacturing-qa, material-batch-inconsistency",medium,materials issue
Equipment Maintenance,PKAI-0214,failure_report,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0214.md,"equipment-maintenance, failure_report, sensor-anomaly",high,equipment/process issue
Failure Analysis,PKAI-0215,validation_summary,yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0215.md,"failure-analysis, validation_summary, yield-loss",medium,materials issue
Validation Testing,PKAI-0216,parameter_change,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0216.md,"parameter_change, validation-testing, validation-threshold-miss",medium,materials issue
Battery Process Optimization,PKAI-0217,experiment_note,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0217.md,"battery-process-optimization, coating-uniformity-drift, experiment_note",medium,equipment/process issue
Materials Characterization,PKAI-0218,qa_record,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0218.md,"materials-characterization, qa_record, thermal-cycling-impedance-drift",medium,equipment/process issue
Manufacturing QA,PKAI-0219,maintenance_log,increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,process_notes/manufacturing_qa/maintenance_log_0219.md,"increased-defect-rate, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0220,failure_report,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0220.md,"calibration-offset, equipment-maintenance, failure_report",medium,equipment/process issue
Failure Analysis,PKAI-0221,validation_summary,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",failed,process_notes/failure_analysis/validation_summary_0221.md,"failure-analysis, material-batch-inconsistency, validation_summary",medium,materials issue
Validation Testing,PKAI-0222,parameter_change,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,process_notes/validation_testing/parameter_change_0222.md,"parameter_change, sensor-anomaly, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0223,experiment_note,yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",warning,process_notes/battery_process_optimization/experiment_note_0223.md,"battery-process-optimization, experiment_note, yield-loss",medium,equipment/process issue
Materials Characterization,PKAI-0224,qa_record,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0224.md,"materials-characterization, qa_record, validation-threshold-miss",medium,materials issue
Manufacturing QA,PKAI-0225,maintenance_log,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,process_notes/manufacturing_qa/maintenance_log_0225.md,"coating-uniformity-drift, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0226,failure_report,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",warning,process_notes/equipment_maintenance/failure_report_0226.md,"equipment-maintenance, failure_report, thermal-cycling-impedance-drift",medium,equipment/process issue
Failure Analysis,PKAI-0227,validation_summary,increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,process_notes/failure_analysis/validation_summary_0227.md,"failure-analysis, increased-defect-rate, validation_summary",medium,materials issue
Validation Testing,PKAI-0228,parameter_change,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0228.md,"calibration-offset, parameter_change, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0229,experiment_note,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0229.md,"battery-process-optimization, experiment_note, material-batch-inconsistency",medium,materials issue
Materials Characterization,PKAI-0230,qa_record,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0230.md,"materials-characterization, qa_record, sensor-anomaly",medium,equipment/process issue
Manufacturing QA,PKAI-0231,maintenance_log,yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0231.md,"maintenance_log, manufacturing-qa, yield-loss",medium,equipment/process issue
Equipment Maintenance,PKAI-0232,failure_report,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0232.md,"equipment-maintenance, failure_report, validation-threshold-miss",low,materials issue
Failure Analysis,PKAI-0233,validation_summary,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",failed,process_notes/failure_analysis/validation_summary_0233.md,"coating-uniformity-drift, failure-analysis, validation_summary",medium,equipment/process issue
Validation Testing,PKAI-0234,parameter_change,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0234.md,"parameter_change, thermal-cycling-impedance-drift, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0235,experiment_note,increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0235.md,"battery-process-optimization, experiment_note, increased-defect-rate",low,equipment/process issue
Materials Characterization,PKAI-0236,qa_record,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,process_notes/materials_characterization/qa_record_0236.md,"calibration-offset, materials-characterization, qa_record",medium,equipment/process issue
Manufacturing QA,PKAI-0237,maintenance_log,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0237.md,"maintenance_log, manufacturing-qa, material-batch-inconsistency",medium,materials issue
Equipment Maintenance,PKAI-0238,failure_report,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0238.md,"equipment-maintenance, failure_report, sensor-anomaly",low,equipment/process issue
Failure Analysis,PKAI-0239,validation_summary,yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,process_notes/failure_analysis/validation_summary_0239.md,"failure-analysis, validation_summary, yield-loss",medium,materials issue
Validation Testing,PKAI-0240,parameter_change,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0240.md,"parameter_change, validation-testing, validation-threshold-miss",medium,materials issue
Battery Process Optimization,PKAI-0241,experiment_note,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",warning,process_notes/battery_process_optimization/experiment_note_0241.md,"battery-process-optimization, coating-uniformity-drift, experiment_note",medium,equipment/process issue
Materials Characterization,PKAI-0242,qa_record,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0242.md,"materials-characterization, qa_record, thermal-cycling-impedance-drift",medium,equipment/process issue
Manufacturing QA,PKAI-0243,maintenance_log,increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0243.md,"increased-defect-rate, maintenance_log, manufacturing-qa",low,equipment/process issue
Equipment Maintenance,PKAI-0244,failure_report,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0244.md,"calibration-offset, equipment-maintenance, failure_report",high,equipment/process issue
Failure Analysis,PKAI-0245,validation_summary,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0245.md,"failure-analysis, material-batch-inconsistency, validation_summary",medium,materials issue
Validation Testing,PKAI-0246,parameter_change,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,process_notes/validation_testing/parameter_change_0246.md,"parameter_change, sensor-anomaly, validation-testing",high,equipment/process issue
Battery Process Optimization,PKAI-0247,experiment_note,yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0247.md,"battery-process-optimization, experiment_note, yield-loss",medium,equipment/process issue
Materials Characterization,PKAI-0248,qa_record,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,process_notes/materials_characterization/qa_record_0248.md,"materials-characterization, qa_record, validation-threshold-miss",medium,materials issue
Manufacturing QA,PKAI-0249,maintenance_log,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0249.md,"coating-uniformity-drift, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0250,failure_report,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0250.md,"equipment-maintenance, failure_report, thermal-cycling-impedance-drift",low,equipment/process issue
Failure Analysis,PKAI-0251,validation_summary,increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0251.md,"failure-analysis, increased-defect-rate, validation_summary",medium,materials issue
Validation Testing,PKAI-0252,parameter_change,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0252.md,"calibration-offset, parameter_change, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0253,experiment_note,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0253.md,"battery-process-optimization, experiment_note, material-batch-inconsistency",high,materials issue
Materials Characterization,PKAI-0254,qa_record,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0254.md,"materials-characterization, qa_record, sensor-anomaly",low,equipment/process issue
Manufacturing QA,PKAI-0255,maintenance_log,yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,process_notes/manufacturing_qa/maintenance_log_0255.md,"maintenance_log, manufacturing-qa, yield-loss",high,equipment/process issue
Equipment Maintenance,PKAI-0256,failure_report,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0256.md,"equipment-maintenance, failure_report, validation-threshold-miss",low,materials issue
Failure Analysis,PKAI-0257,validation_summary,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0257.md,"coating-uniformity-drift, failure-analysis, validation_summary",low,equipment/process issue
Validation Testing,PKAI-0258,parameter_change,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0258.md,"parameter_change, thermal-cycling-impedance-drift, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0259,experiment_note,increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0259.md,"battery-process-optimization, experiment_note, increased-defect-rate",medium,equipment/process issue
Materials Characterization,PKAI-0260,qa_record,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0260.md,"calibration-offset, materials-characterization, qa_record",medium,equipment/process issue
Manufacturing QA,PKAI-0261,maintenance_log,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,process_notes/manufacturing_qa/maintenance_log_0261.md,"maintenance_log, manufacturing-qa, material-batch-inconsistency",medium,materials issue
Equipment Maintenance,PKAI-0262,failure_report,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0262.md,"equipment-maintenance, failure_report, sensor-anomaly",low,equipment/process issue
Failure Analysis,PKAI-0263,validation_summary,yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0263.md,"failure-analysis, validation_summary, yield-loss",medium,materials issue
Validation Testing,PKAI-0264,parameter_change,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,process_notes/validation_testing/parameter_change_0264.md,"parameter_change, validation-testing, validation-threshold-miss",medium,materials issue
Battery Process Optimization,PKAI-0265,experiment_note,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0265.md,"battery-process-optimization, coating-uniformity-drift, experiment_note",low,equipment/process issue
Materials Characterization,PKAI-0266,qa_record,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0266.md,"materials-characterization, qa_record, thermal-cycling-impedance-drift",medium,equipment/process issue
Manufacturing QA,PKAI-0267,maintenance_log,increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",warning,process_notes/manufacturing_qa/maintenance_log_0267.md,"increased-defect-rate, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0268,failure_report,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0268.md,"calibration-offset, equipment-maintenance, failure_report",medium,equipment/process issue
Failure Analysis,PKAI-0269,validation_summary,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0269.md,"failure-analysis, material-batch-inconsistency, validation_summary",low,materials issue
Validation Testing,PKAI-0270,parameter_change,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,process_notes/validation_testing/parameter_change_0270.md,"parameter_change, sensor-anomaly, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0271,experiment_note,yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0271.md,"battery-process-optimization, experiment_note, yield-loss",medium,equipment/process issue
Materials Characterization,PKAI-0272,qa_record,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0272.md,"materials-characterization, qa_record, validation-threshold-miss",low,materials issue
Manufacturing QA,PKAI-0273,maintenance_log,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0273.md,"coating-uniformity-drift, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0274,failure_report,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0274.md,"equipment-maintenance, failure_report, thermal-cycling-impedance-drift",medium,equipment/process issue
Failure Analysis,PKAI-0275,validation_summary,increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0275.md,"failure-analysis, increased-defect-rate, validation_summary",low,materials issue
Validation Testing,PKAI-0276,parameter_change,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0276.md,"calibration-offset, parameter_change, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0277,experiment_note,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0277.md,"battery-process-optimization, experiment_note, material-batch-inconsistency",medium,materials issue
Materials Characterization,PKAI-0278,qa_record,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0278.md,"materials-characterization, qa_record, sensor-anomaly",medium,equipment/process issue
Manufacturing QA,PKAI-0279,maintenance_log,yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,process_notes/manufacturing_qa/maintenance_log_0279.md,"maintenance_log, manufacturing-qa, yield-loss",medium,equipment/process issue
Equipment Maintenance,PKAI-0280,failure_report,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",warning,process_notes/equipment_maintenance/failure_report_0280.md,"equipment-maintenance, failure_report, validation-threshold-miss",medium,materials issue
Failure Analysis,PKAI-0281,validation_summary,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",failed,process_notes/failure_analysis/validation_summary_0281.md,"coating-uniformity-drift, failure-analysis, validation_summary",medium,equipment/process issue
Validation Testing,PKAI-0282,parameter_change,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0282.md,"parameter_change, thermal-cycling-impedance-drift, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0283,experiment_note,increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",warning,process_notes/battery_process_optimization/experiment_note_0283.md,"battery-process-optimization, experiment_note, increased-defect-rate",medium,equipment/process issue
Materials Characterization,PKAI-0284,qa_record,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0284.md,"calibration-offset, materials-characterization, qa_record",medium,equipment/process issue
Manufacturing QA,PKAI-0285,maintenance_log,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0285.md,"maintenance_log, manufacturing-qa, material-batch-inconsistency",low,materials issue
Equipment Maintenance,PKAI-0286,failure_report,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0286.md,"equipment-maintenance, failure_report, sensor-anomaly",medium,equipment/process issue
Failure Analysis,PKAI-0287,validation_summary,yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0287.md,"failure-analysis, validation_summary, yield-loss",low,materials issue
Validation Testing,PKAI-0288,parameter_change,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0288.md,"parameter_change, validation-testing, validation-threshold-miss",medium,materials issue
Battery Process Optimization,PKAI-0289,experiment_note,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0289.md,"battery-process-optimization, coating-uniformity-drift, experiment_note",high,equipment/process issue
Materials Characterization,PKAI-0290,qa_record,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0290.md,"materials-characterization, qa_record, thermal-cycling-impedance-drift",medium,equipment/process issue
Manufacturing QA,PKAI-0291,maintenance_log,increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0291.md,"increased-defect-rate, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0292,failure_report,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",warning,process_notes/equipment_maintenance/failure_report_0292.md,"calibration-offset, equipment-maintenance, failure_report",medium,equipment/process issue
Failure Analysis,PKAI-0293,validation_summary,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",failed,process_notes/failure_analysis/validation_summary_0293.md,"failure-analysis, material-batch-inconsistency, validation_summary",high,materials issue
Validation Testing,PKAI-0294,parameter_change,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0294.md,"parameter_change, sensor-anomaly, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0295,experiment_note,yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0295.md,"battery-process-optimization, experiment_note, yield-loss",medium,equipment/process issue
Materials Characterization,PKAI-0296,qa_record,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0296.md,"materials-characterization, qa_record, validation-threshold-miss",low,materials issue
Manufacturing QA,PKAI-0297,maintenance_log,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0297.md,"coating-uniformity-drift, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0298,failure_report,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",warning,process_notes/equipment_maintenance/failure_report_0298.md,"equipment-maintenance, failure_report, thermal-cycling-impedance-drift",medium,equipment/process issue
Failure Analysis,PKAI-0299,validation_summary,increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,process_notes/failure_analysis/validation_summary_0299.md,"failure-analysis, increased-defect-rate, validation_summary",medium,materials issue
